name,ring,quadrant,isNew,description
Confluence,Использую,tools,TRUE,Confluence
Drawit.io,Использую,tools,TRUE,Drawit.io
Grafana,Изучаю,tools,TRUE,Grafana
Artifactory,Владею,tools,TRUE,Artifactory
Nexus,Владею,tools,TRUE,Nexus
Visio,Владею,tools,TRUE,Visio
ELK,Владею,tools,TRUE,ELK
Reporting Service,Забыл,tools,TRUE,Reporting Service
MongoDb,Владею,tools,TRUE,MongoDb
jMeter,Владею,tools,TRUE,jMeter
WireMock,Изучаю,tools,TRUE,WireMock
Selenium Grid,Забыл,tools,TRUE,Selenium Grid
Selenuim,Забыл,tools,TRUE,Selenuim
JIRA,Использую,tools,TRUE,JIRA
TFS,Использую,tools,TRUE,TFS
BAMBOO,Забыл,tools,TRUE,BAMBOO
Vault,Использую,tools,TRUE,Vault
Postman,Использую,tools,TRUE,Postman
Let's Encrypt,Владею,tools,TRUE,Let's Encrypt
Swagger,Использую,tools,TRUE,Swagger
GitHub,Использую,tools,TRUE,GitHub
Git,Использую,tools,TRUE,Git
Rider,Использую,tools,TRUE,Rider
Visual Studio,Использую,tools,TRUE,Visual Studio
Dbeaver,Использую,tools,TRUE,Dbeaver
Miro,Использую,tools,TRUE,Miro
Webpack,Владею,tools,TRUE,Webpack
Fedora,Использую,tools,TRUE,Fedora
Ubuntu,Использую,tools,TRUE,Ubuntu
Zabbix,Изучаю,tools,TRUE,Zabbix
Dynatrace,Владею,tools,TRUE,Dynatrace
Kibana,Использую,tools,TRUE,Kibana
MySQL,Владею,tools,TRUE,MySQL
MariaDb,Владею,tools,TRUE,MariaDb
Oracle,Забыл,tools,TRUE,Oracle
MS SQL,Использую,tools,TRUE,MS SQL
LDAP,Владею,tools,TRUE,LDAP
AD,Владею,tools,TRUE,AD
CosmosDB,Изучаю,tools,TRUE,CosmosDB
Debezium,Изучаю,tools,TRUE,Debezium
CDC,Владею,tools,TRUE,CDC
PostgreSQL,Использую,tools,TRUE,PostgreSQL
PgAdmin,Использую,tools,TRUE,PgAdmin
PgPool,Забыл,tools,TRUE,PgPool
Nginx,Использую,tools,TRUE,Nginx
WinCSP,Использую,tools,TRUE,WinCSP
Wireshark,Владею,tools,TRUE,Wireshark
IIS,Использую,tools,TRUE,IIS
ISA Server,Забыл,tools,TRUE,ISA Server
Camunda,Забыл,tools,TRUE,Camunda
Failover Clustering,Владею,tools,TRUE,Failover Clustering
Web API,Использую,languages & frameworks,TRUE,Web API
Couchbase,Владею,tools,TRUE,Couchbase
1C-Bitrix,Забыл,languages & frameworks,TRUE,1C-Bitrix
1C,Забыл,languages & frameworks,TRUE,1C
BackboneJS,Забыл,languages & frameworks,TRUE,BackboneJS
HTTP2,Владею,languages & frameworks,TRUE,HTTP2
React.js,Изучаю,languages & frameworks,TRUE,React.js
Redux,Изучаю,languages & frameworks,TRUE,Redux
Spring Framework,Изучаю,languages & frameworks,TRUE,Spring Framework
Spring Boot,Изучаю,languages & frameworks,TRUE,Spring Boot
MarionetteJS,Забыл,languages & frameworks,TRUE,MarionetteJS
IonicFramework,Владею,languages & frameworks,TRUE,IonicFramework
XML,Владею,languages & frameworks,TRUE,XML
HTML,Владею,languages & frameworks,TRUE,HTML
LESS,Забыл,languages & frameworks,TRUE,LESS
SASS,Забыл,languages & frameworks,TRUE,SASS
CSS,Владею,languages & frameworks,TRUE,CSS
AngularJS,Использую,languages & frameworks,TRUE,AngularJS
JavaScript,Использую,languages & frameworks,TRUE,JavaScript
ActionScript,Забыл,languages & frameworks,TRUE,ActionScript
Ansible,Владею,languages & frameworks,TRUE,Ansible
Ajax,Владею,languages & frameworks,TRUE,Ajax
C#,Использую,languages & frameworks,TRUE,C#
PHP,Забыл,languages & frameworks,TRUE,PHP
React Native,Изучаю,languages & frameworks,TRUE,React Native
PERL,Забыл,languages & frameworks,TRUE,PERL
BPMN,Использую,languages & frameworks,TRUE,BPMN
UML,Использую,languages & frameworks,TRUE,UML
GraphQL,Изучаю,languages & frameworks,TRUE,GraphQL
ERD,Использую,languages & frameworks,TRUE,ERD
Java,Изучаю,languages & frameworks,TRUE,Java
Entity Framework,Использую,languages & frameworks,TRUE,Entity Framework
EF Migrations,Использую,languages & frameworks,TRUE,EF Migrations
Unit,Использую,languages & frameworks,TRUE,Unit
NodeJS,Изучаю,languages & frameworks,TRUE,NodeJS
Electron,Владею,languages & frameworks,TRUE,Electron
Puppeteer,Владею,languages & frameworks,TRUE,Puppeteer
Scrapy,Забыл,languages & frameworks,TRUE,Scrapy
OWIN,Владею,languages & frameworks,TRUE,OWIN
Autofac,Владею,languages & frameworks,TRUE,Autofac
Zend Framework,Забыл,languages & frameworks,TRUE,Zend Framework
